Time, Reading1, Reading2
793286, 546, 472
793817, 546, 472
794348, 546, 473
794878, 547, 472
795409, 546, 473
795939, 546, 473
796470, 545, 473
797000, 546, 472
797531, 546, 472
798062, 545, 473
798593, 547, 472
799123, 546, 473
799653, 547, 472
800184, 545, 473
800714, 547, 473
801246, 547, 473
801776, 546, 473
802307, 547, 474
802837, 547, 473
803367, 546, 473
803901, 547, 473
804431, 547, 474
804963, 547, 473
805493, 547, 473
806024, 546, 474
806554, 547, 472
807085, 547, 473
807615, 547, 473
808145, 547, 473
808677, 547, 472
809207, 546, 474
809738, 547, 473
810268, 547, 474
810799, 548, 473
811330, 547, 474
811860, 546, 474
812391, 547, 473
812921, 547, 474
813452, 547, 473
813983, 548, 473
814514, 547, 475
815044, 548, 472
815575, 547, 473
816105, 548, 473
816636, 548, 473
817167, 548, 474
817697, 548, 474
818228, 547, 473
818758, 547, 474
819293, 547, 474
