Time,Reading1,Reading2
92664429,495,460
92664965,495,460
92665501,494,461
92666038,494,461
92666573,495,460
92667110,494,460
92667649,496,460
92668185,494,460
92668722,494,460
92669257,495,460
92669794,495,460
92670329,494,461
92670866,494,460
92671403,495,461
92671938,494,461
92672475,494,460
92673011,495,460
92673547,496,460
92674083,495,460
92674619,495,461
92675155,495,460
92675692,494,460
92676228,494,460
92676764,494,460
92677301,495,461
92677836,494,460
92678373,496,460
92678908,494,460
92679445,495,460
92679982,496,460
92680517,496,460
92681054,495,460
92681592,494,460
92682129,494,460
92682665,496,461
92683201,496,460
92683738,496,461
92684274,495,460
92684810,494,460
92685355,495,460
92685891,494,461
92686427,496,460
92686963,494,461
92687500,494,460
92688060,494,460
92688596,495,460
92689132,495,460
92689669,496,460
92690205,496,460
92690741,494,461
92691277,494,460
92691814,495,460
92692350,495,461
92692886,496,460
92693423,496,460
92693959,495,460
92694495,494,460
92695034,496,460
92695570,495,460
92696107,494,460
92696643,494,460
92697180,495,460
92697715,494,461
92698252,495,461
92698788,495,460
92699324,494,460
92699860,495,461
92700397,494,461
92700933,494,461
92701469,495,460
92702006,495,460
92702541,496,460
92703078,497,460
92703614,496,461
92704151,494,461
92704687,496,460
92705223,495,461
92705760,495,461
92706295,496,460
92706832,495,460
92707368,495,460
92707904,494,461
92708441,494,460
92708980,495,461
92709516,495,460
92710052,494,460
92710589,496,460
92711126,495,460
92711661,496,461
92712198,495,460
92712734,495,461
92713270,495,461
92713806,495,460
92714343,496,460
92714880,495,460
92715415,495,461
92715952,496,461
92716488,496,460
92717025,495,461
92717560,494,461
92718097,496,460
92718633,496,460
92719170,494,460
92719706,496,460
92720242,494,461
92720779,495,460
92721314,495,460
92721851,494,460
92722387,495,460
92722927,493,461
92723463,495,460
92723999,494,460
92724536,494,461
92725072,495,460
92725608,495,460
92726145,495,461
92726681,495,460
92727217,496,460
92727753,496,460
92728290,495,460
92728826,495,461
92729362,496,460
92729899,494,460
92730435,494,460
92730972,494,461
92731507,496,460
92732044,494,460
92732580,494,460
92733117,495,460
92733652,495,460
92734189,495,461
92734726,495,460
92735262,496,460
92735798,495,460
92736337,494,461
92736874,495,461
92737411,495,461
92737946,495,460
92738483,495,460
92739019,496,460
92739556,495,460
92740091,495,460
92740628,493,460
92741165,495,461
92741701,495,460
92742238,496,460
92742773,495,460
92743310,494,460
92743846,495,460
92744383,495,461
92744919,495,460
92745455,495,460
92745992,496,460
92746528,496,461
92747065,495,460
92747600,495,460
92748137,495,460
92748674,495,461
92749210,494,460
92749747,496,460
92750285,494,460
92750822,496,460
92751358,494,461
92751895,494,460
92752431,494,460
92752967,494,461
92753504,495,460
92754040,496,460
92754577,496,461
92755112,495,460
92755649,496,460
92756186,496,461
92756722,494,461
92757259,494,461
92757795,495,460
92758331,495,460
92758867,496,460
92759404,494,461
92759941,495,460
92760476,495,460
92761013,496,460
92761549,496,460
92762086,496,460
92762622,495,461
92763159,495,461
92763698,494,461
92764234,496,460
92764771,496,460
92765307,496,460
92765844,495,460
92766380,496,461
92766916,495,460
92767453,495,460
92767989,495,460
92768526,494,461
92769062,496,461
92769598,494,460
92770135,495,461
92770671,495,461
92771208,494,460
92771744,495,460
92772281,496,460
92772816,496,461
92773353,495,460
92773890,494,460
92774426,494,461
92774963,494,461
92775499,496,460
92776036,495,461
92776571,496,460
92777108,494,460
92777648,496,460
92778184,495,460
92778721,495,460
92779257,495,461
92779793,495,460
92780329,495,460
92780866,495,460
92781403,495,461
92781939,494,461
92782476,494,461
92783012,495,460
92783548,494,460
92784084,495,460
92784621,496,460
92785158,495,461
92785694,495,460
92786231,495,461
92786767,494,461
92787304,495,461
92787840,494,461
92788376,496,461
92788913,495,460
92789449,495,460
92789986,495,460
92790522,494,460
92791059,495,460
92791598,495,460
92792134,495,461
92792671,495,461
92793207,495,460
92793744,495,461
92794280,495,460
92794817,494,461
92795354,495,461
92795890,496,461
92796427,496,460
92796962,494,460
92797499,495,460
92798035,496,461
92798572,495,460
92799109,495,460
92799645,495,460
92800182,494,460
92800718,496,460
92801255,495,461
92801792,496,461
92802328,495,460
92802865,496,460
92803400,495,460
92803937,495,461
92804473,495,460
92805013,495,460
92805550,494,461
92806086,495,461
92806623,496,461
92807159,496,460
92807695,495,460
92808231,495,460
92808768,496,460
92809305,495,460
92809841,495,461
92810378,495,461
92810914,496,460
92811451,494,461
92811987,495,461
92812524,495,461
92813061,496,461
92813596,496,461
92814133,496,460
92814669,495,460
92815206,496,461
92815742,496,461
92816279,495,461
92816816,496,461
92817352,496,461
92817889,496,461
92818425,496,460
92818965,495,461
92819502,495,461
92820038,495,461
92820574,495,461
92821110,495,461
92821647,495,461
92822183,496,461
92822745,495,460
92823281,495,461
92823818,495,460
92824353,496,460
92824890,495,461
92825426,496,460
92825963,494,460
92826500,496,460
92827035,494,460
92827572,496,461
92828108,494,460
92828645,497,460
92829180,495,460
92829717,496,461
92830254,495,461
92830790,494,461
92831327,495,461
92831862,496,460
92832402,494,461
92832939,494,461
92833474,495,461
92834011,496,460
92834547,494,460
92835084,495,460
92835620,495,460
92836156,496,461
92836692,496,461
92837229,495,461
92837766,494,460
92838302,495,461
92838838,496,460
92839374,495,461
92839911,495,460
92840448,495,460
92840983,495,460
92841520,494,461
92842056,495,460
92842593,494,460
92843129,495,460
92843665,494,461
92844201,496,460
92844738,496,460
92845275,495,460
92845811,495,461
92846350,496,460
92846886,496,461
92847423,496,461
92847960,495,460
92848496,495,460
92849032,495,461
92849568,495,460
92850105,494,461
92850641,494,460
92851178,495,461
92851715,495,461
92852250,496,460
92852787,496,460
